off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
13,87,.493,44,2007-08,23,HOU,93,264,225,608,PG,43,regular,13,5,51
33,238,.476,125,2008-09,24,HOU,316,894,783,1998,PG,124,regular,46,8,80
54,434,.511,232,2009-10,25,HOU,575,1604,1331,2919,PG,161,regular,69,14,82
20,233,.434,99,2010-11,26,TOT,220,634,587,1284,PG,58,regular,34,3,59
11,129,.408,55,2010-11,26,HOU,134,394,387,811,PG,40,regular,21,2,34
9,104,.485,44,2010-11,26,PHO,86,240,200,473,PG,18,regular,13,1,25
13,114,.532,67,2012-13,28,TOT,143,376,316,997,PG,67,regular,30,10,53
12,108,.538,63,2012-13,28,SAC,139,366,303,959,PG,66,regular,29,7,46
1,6,.385,4,2012-13,28,HOU,4,10,13,38,PG,1,regular,1,3,7
43,233,.484,117,2013-14,29,TOT,233,645,581,1557,PG,97,regular,52,13,72
23,83,.498,51,2013-14,29,HOU,104,299,263,716,PG,39,regular,25,6,43
20,150,.472,66,2013-14,29,DEN,129,346,318,841,PG,58,regular,27,7,29
32,261,.495,157,2014-15,30,CHI,344,954,817,1885,PG,134,regular,54,15,82
21,180,.471,82,2015-16,31,CHI,188,491,469,1108,PG,80,regular,30,10,69
18,125,.483,66,2016-17,32,IND,121,322,300,894,PG,51,regular,25,9,65
0,3,.320,3,2007-08,23,HOU,8,25,25,50,PG,6,playoffs,0,0,6
4,44,.532,29,2008-09,24,HOU,77,218,170,444,PG,30,playoffs,5,3,13
3,11,.397,6,2012-13,28,HOU,13,30,34,67,PG,6,playoffs,1,1,6
3,11,.410,9,2014-15,30,CHI,21,54,61,132,PG,15,playoffs,3,1,12
0,1,.833,1,2016-17,32,IND,2,5,3,7,PG,1,playoffs,0,0,1
