off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
107,132,.517,90,2007-08,27,GSW,401,1102,923,2190,C,332,regular,74,16,81
99,102,.509,161,2008-09,28,TOT,532,1469,1212,2546,PF,356,regular,88,22,73
10,10,.407,7,2008-09,28,GSW,23,62,70,166,PF,18,regular,7,0,5
89,92,.516,154,2008-09,28,NYK,509,1407,1142,2380,PF,338,regular,81,22,68
88,110,.503,132,2009-10,29,NYK,448,1276,1030,2195,PF,317,regular,62,26,72
76,101,.503,106,2010-11,30,DEN,281,765,675,1665,PF,256,regular,39,10,73
72,88,.512,112,2011-12,31,DEN,345,910,773,1761,PF,318,regular,58,12,64
6,10,.421,7,2012-13,32,ORL,20,51,57,119,C,21,regular,4,1,10
15,28,.478,34,2013-14,33,WAS,82,225,207,511,PF,65,regular,14,0,34
1,5,.568,4,2010-11,30,DEN,10,28,22,70,PF,6,playoffs,3,0,5
7,6,.387,3,2011-12,31,DEN,24,68,75,163,PF,23,playoffs,3,1,7
1,0,.400,4,2013-14,33,WAS,6,17,15,59,PF,15,playoffs,3,0,7
