off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
15,7,.534,10,2009-10,22,WAS,28,81,59,182,SG,18,regular,7,1,11
62,38,.491,55,2010-11,23,TOT,121,331,264,1118,SG,120,regular,40,18,56
2,0,.333,3,2010-11,23,SAS,1,2,3,18,SG,1,regular,0,2,5
11,5,.444,8,2010-11,23,WAS,12,32,27,127,SG,11,regular,7,0,11
49,33,.498,44,2010-11,23,CLE,108,297,234,973,SG,108,regular,33,16,40
101,113,.452,114,2011-12,24,CLE,227,665,551,1827,SG,221,regular,83,17,63
75,133,.456,132,2012-13,25,CLE,305,842,744,2541,SF,245,regular,107,29,82
35,47,.456,44,2013-14,26,CLE,98,258,236,1020,SF,114,regular,39,15,65
37,25,.503,33,2014-15,27,TOT,87,241,186,662,SF,57,regular,35,7,54
29,19,.518,25,2014-15,27,DEN,66,190,137,511,SF,41,regular,28,6,39
8,6,.459,8,2014-15,27,POR,21,51,49,151,SF,16,regular,7,1,15
60,72,.551,55,2015-16,28,NOP,132,325,255,1632,SF,185,regular,63,13,73
4,6,.214,4,2016-17,29,DEN,3,11,14,89,SF,11,regular,5,1,13
0,1,,0,2014-15,27,POR,0,0,0,3,SF,1,playoffs,0,0,1
