off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
121,285,.546,140,2007-08,26,UTA,275,792,544,2217,SF,218,regular,86,109,72
84,175,.467,121,2008-09,27,UTA,256,776,570,1831,PF,235,regular,83,77,67
76,158,.533,79,2009-10,28,UTA,244,688,482,1681,SF,188,regular,83,71,58
100,192,.500,117,2010-11,29,UTA,253,750,542,1999,SF,227,regular,81,74,64
102,177,.538,119,2012-13,31,MIN,284,791,560,2034,SF,260,regular,96,62,64
55,72,.516,54,2013-14,32,BRK,82,226,160,857,PF,91,regular,40,19,45
2,1,.000,1,2014-15,33,BRK,0,3,5,36,SF,6,regular,1,0,7
15,30,.469,18,2007-08,26,UTA,51,132,114,387,SF,26,playoffs,18,20,12
7,10,.479,5,2008-09,27,UTA,22,55,47,136,PF,7,playoffs,11,3,5
3,0,.500,0,2009-10,28,UTA,5,11,10,30,SF,3,playoffs,1,1,2
10,10,.467,3,2013-14,32,BRK,7,25,15,144,PF,13,playoffs,10,3,10
