off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
245,199,.511,172,2007-08,23,MIL,465,1119,910,2720,C,518,regular,64,135,78
117,72,.577,86,2008-09,24,MIL,183,422,317,1124,C,252,regular,23,37,36
208,127,.520,131,2009-10,25,MIL,473,1095,910,2229,C,493,regular,39,175,69
199,131,.495,125,2010-11,26,MIL,367,830,742,2297,C,521,regular,47,168,65
22,31,.449,24,2011-12,27,MIL,61,136,136,364,C,78,regular,12,24,12
68,67,.454,35,2012-13,28,GSW,83,186,184,786,C,177,regular,20,55,32
182,112,.627,97,2013-14,29,GSW,235,492,375,1769,C,489,regular,47,121,67
141,180,.563,106,2014-15,30,GSW,200,422,355,1583,C,402,regular,39,113,67
121,162,.629,83,2015-16,31,GSW,175,375,279,1451,C,371,regular,33,114,70
56,49,.469,43,2016-17,32,TOT,38,79,81,583,C,162,regular,13,25,27
56,49,.469,43,2016-17,32,DAL,38,79,81,582,C,162,regular,13,25,26
0,0,,0,2016-17,32,CLE,0,0,0,1,C,0,regular,0,0,1
39,22,.582,22,2012-13,28,GSW,39,86,67,327,C,92,playoffs,6,18,12
41,36,.560,26,2014-15,30,GSW,42,89,75,440,C,112,playoffs,11,34,19
47,30,.623,19,2015-16,31,GSW,48,101,77,365,C,78,playoffs,14,35,22
