off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
78,80,.558,52,2008-09,23,GSW,255,676,534,1515,SG,121,regular,36,12,67
61,104,.568,84,2009-10,24,GSW,329,899,703,2018,SG,198,regular,65,16,69
37,68,.539,54,2010-11,25,NJN,279,764,620,1856,SG,135,regular,19,7,58
31,61,.494,70,2011-12,26,NJN,272,747,658,1636,SG,96,regular,46,9,62
11,13,.497,8,2012-13,27,TOT,64,164,145,383,SG,19,regular,13,1,41
10,9,.491,4,2012-13,27,ATL,47,125,111,301,SG,16,regular,12,1,24
1,4,.515,4,2012-13,27,DAL,17,39,34,82,SG,3,regular,1,0,17
29,59,.542,51,2013-14,28,NOP,238,636,520,1426,SG,111,regular,38,12,76
40,60,.578,38,2014-15,29,OKC,285,790,615,1806,SG,155,regular,54,11,74
10,24,.527,17,2015-16,30,OKC,136,380,333,926,SG,52,regular,22,5,68
12,25,.470,6,2016-17,31,TOT,98,271,252,714,SG,19,regular,24,2,49
11,19,.464,6,2016-17,31,OKC,86,230,223,627,SG,18,regular,22,2,40
1,6,.517,0,2016-17,31,CHI,12,41,29,87,SG,1,regular,2,0,9
0,1,.563,4,2015-16,30,OKC,11,37,24,76,SG,2,playoffs,1,0,14
0,2,.556,0,2016-17,31,CHI,5,12,9,29,SG,3,playoffs,0,0,3
