off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
12,17,.362,7,2008-09,23,SAS,19,52,65,208,PF,29,regular,5,1,19
84,87,.486,46,2009-10,24,TOT,193,539,449,1427,PF,236,regular,32,33,46
0,0,.000,0,2009-10,24,POR,0,0,1,4,PF,1,regular,0,0,2
84,87,.487,46,2009-10,24,GSW,193,539,448,1423,PF,235,regular,32,33,44
92,82,.526,49,2010-11,25,MIN,141,434,313,1362,SF,203,regular,28,28,65
50,22,.459,35,2011-12,26,MIN,71,208,182,882,SF,103,regular,18,19,51
31,32,.484,36,2012-13,27,ATL,82,253,216,963,SF,124,regular,15,12,62
33,42,.586,23,2013-14,28,CHA,129,393,307,1298,PF,135,regular,19,15,64
51,59,.545,51,2014-15,29,TOT,161,482,393,1432,PF,185,regular,24,16,76
6,10,.514,11,2014-15,29,PHO,26,80,74,272,PF,38,regular,4,1,24
45,49,.552,40,2014-15,29,DET,135,402,319,1160,PF,147,regular,20,15,52
39,52,.533,28,2015-16,30,DET,128,383,332,1341,PF,190,regular,26,16,72
51,77,.570,56,2016-17,31,SAC,155,461,351,1477,PF,186,regular,34,20,65
3,1,.821,1,2012-13,27,ATL,8,24,14,68,SF,6,playoffs,1,1,6
1,1,.750,0,2013-14,28,CHA,1,6,2,21,PF,3,playoffs,0,0,4
1,1,.500,0,2015-16,30,DET,2,4,4,26,PF,3,playoffs,0,1,3
