off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
34,34,.514,48,2009-10,21,DET,137,349,295,915,SF,140,regular,25,26,69
64,78,.483,59,2010-11,22,DET,193,537,471,1446,SF,210,regular,39,39,72
14,33,.350,40,2011-12,23,DET,73,194,227,603,SF,77,regular,22,21,41
16,42,.531,29,2012-13,24,TOT,90,247,208,676,SF,107,regular,14,22,55
10,21,.552,13,2012-13,24,DET,43,122,97,348,SF,53,regular,5,8,24
6,21,.514,16,2012-13,24,MEM,47,125,111,328,SF,54,regular,9,14,31
5,8,.441,5,2013-14,25,TOT,24,66,68,148,SF,22,regular,4,4,22
2,2,.231,0,2013-14,25,TOR,3,8,13,33,SF,5,regular,0,0,8
3,6,.491,5,2013-14,25,SAS,21,58,55,115,SF,17,regular,4,4,14
10,17,.440,23,2014-15,26,TOT,50,129,141,344,SF,65,regular,12,5,34
6,9,.430,18,2014-15,26,SAS,40,103,115,268,SF,55,regular,8,3,26
4,8,.481,5,2014-15,26,ATL,10,26,26,76,SF,10,regular,4,2,8
0,0,.375,1,2012-13,24,MEM,3,7,8,20,SF,1,playoffs,0,1,4
0,0,.000,0,2013-14,25,SAS,0,0,2,6,SF,1,playoffs,0,0,1
