off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
270,312,.508,223,2010-11,21,LAC,696,1845,1376,3112,PF,719,regular,63,45,82
218,210,.550,150,2011-12,22,LAC,561,1368,1022,2392,PF,499,regular,54,48,66
186,299,.541,185,2012-13,23,LAC,577,1440,1072,2598,PF,476,regular,97,50,80
192,309,.533,224,2013-14,24,LAC,718,1930,1359,2863,PF,565,regular,92,51,80
126,354,.506,152,2014-15,25,LAC,574,1469,1144,2356,PF,382,regular,63,35,67
51,170,.504,83,2015-16,26,LAC,301,749,603,1170,PF,243,regular,28,17,35
112,300,.513,142,2016-17,27,LAC,479,1316,971,2076,PF,385,regular,57,22,61
19,27,.500,25,2011-12,22,LAC,84,210,168,393,PF,57,playoffs,20,10,11
8,15,.453,13,2012-13,23,LAC,29,79,64,158,PF,25,playoffs,0,5,6
35,50,.502,31,2013-14,24,LAC,117,306,234,478,PF,61,playoffs,16,14,13
38,86,.513,45,2014-15,25,LAC,140,357,274,557,PF,140,playoffs,14,14,14
7,16,.387,9,2015-16,26,LAC,20,60,53,127,PF,28,playoffs,3,2,4
3,7,.529,6,2016-17,27,LAC,25,61,51,99,PF,15,playoffs,2,1,3
