off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
97,317,.487,155,2007-08,25,PHO,308,725,646,2308,PF,281,regular,61,39,82
118,333,.549,215,2008-09,26,TOT,448,1072,884,2754,PF,314,regular,61,53,81
24,46,.585,37,2008-09,26,PHO,80,183,141,538,PF,60,regular,11,9,22
94,287,.542,178,2008-09,26,CHA,368,889,743,2216,PF,254,regular,50,44,59
131,325,.525,178,2009-10,27,CHA,373,925,773,2906,PF,293,regular,60,57,82
105,337,.543,166,2010-11,28,CHA,381,924,774,2778,PF,309,regular,74,46,82
70,205,.489,112,2011-12,29,TOT,156,365,351,1424,PF,210,regular,34,25,57
47,158,.451,84,2011-12,29,CHA,116,272,283,1018,PF,148,regular,20,19,37
23,47,.647,28,2011-12,29,SAS,40,93,68,406,PF,62,regular,14,6,20
66,180,.584,84,2012-13,30,SAS,179,435,332,1709,PF,188,regular,52,27,75
74,222,.559,121,2013-14,31,SAS,302,717,580,1974,PF,252,regular,44,32,79
78,233,.503,126,2014-15,32,SAS,291,708,632,1984,PF,270,regular,36,23,81
58,176,.560,97,2015-16,33,SAS,202,485,383,1386,PF,175,regular,26,21,76
46,170,.477,87,2016-17,34,UTA,146,338,327,1283,PF,112,regular,18,9,73
7,23,.547,11,2007-08,25,PHO,35,73,64,178,PF,21,playoffs,3,4,5
7,16,.518,12,2009-10,27,CHA,14,30,28,152,PF,13,playoffs,1,3,4
28,35,.579,15,2011-12,29,SAS,36,87,70,346,PF,45,playoffs,11,4,14
8,28,.491,13,2012-13,30,SAS,24,65,54,273,PF,32,playoffs,4,3,16
25,78,.556,29,2013-14,31,SAS,80,211,160,604,PF,86,playoffs,14,3,23
13,25,.507,9,2014-15,32,SAS,34,81,71,198,PF,30,playoffs,5,3,7
2,21,.478,6,2015-16,33,SAS,21,47,46,159,PF,17,playoffs,2,4,9
3,22,.563,14,2016-17,34,UTA,24,63,48,203,PF,18,playoffs,7,4,11
