off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
38,9,.554,13,2007-08,20,GSW,62,151,112,376,PF,61,regular,6,22,38
62,21,.528,23,2008-09,21,GSW,130,323,246,688,PF,95,regular,22,37,39
31,12,.513,14,2010-11,23,TOT,60,141,117,379,PF,58,regular,11,17,37
14,5,.603,10,2010-11,23,GSW,38,83,63,195,PF,27,regular,3,10,21
17,7,.407,4,2010-11,23,NJN,22,58,54,184,PF,31,regular,8,7,16
62,13,.618,21,2011-12,24,DAL,144,340,233,791,C,112,regular,22,63,49
85,38,.597,34,2012-13,25,DAL,241,541,404,1149,C,175,regular,26,76,64
102,31,.677,35,2013-14,26,DAL,224,525,331,1077,C,142,regular,32,55,58
128,41,.642,34,2014-15,27,TOT,233,544,363,1449,PF,193,regular,50,94,75
51,10,.748,13,2014-15,27,DAL,101,238,135,505,PF,59,regular,17,42,27
7,8,.571,5,2014-15,27,BOS,12,26,21,86,PF,10,regular,1,5,8
70,23,.580,16,2014-15,27,PHO,120,280,207,858,PF,124,regular,32,47,40
14,6,.673,10,2015-16,28,MEM,35,83,52,212,PF,29,regular,5,15,12
31,15,.615,10,2016-17,29,MEM,83,189,135,447,PF,47,regular,11,20,28
2,0,.400,3,2011-12,24,DAL,2,5,5,27,C,3,playoffs,1,1,4
5,8,.833,2,2013-14,26,DAL,15,33,18,90,C,7,playoffs,2,6,6
1,0,.400,1,2016-17,29,MEM,2,4,5,12,PF,1,playoffs,0,2,2
