off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
49,470,.431,200,2009-10,20,MIL,451,1270,1216,2671,PG,233,regular,105,18,82
42,305,.443,146,2010-11,21,MIL,361,1019,926,2169,PG,192,regular,95,21,63
49,365,.476,146,2011-12,22,MIL,469,1260,1121,2331,PG,177,regular,104,22,66
59,521,.468,203,2012-13,23,MIL,497,1397,1247,2897,PG,187,regular,125,10,80
59,609,.441,215,2013-14,24,DET,423,1241,1135,2728,PG,185,regular,101,8,80
21,272,.471,90,2014-15,25,DET,218,632,543,1173,PG,83,regular,44,4,41
16,170,.452,57,2015-16,26,TOT,112,332,304,868,PG,80,regular,29,7,48
5,70,.455,22,2015-16,26,DET,53,157,143,416,PG,41,regular,11,2,23
11,100,.450,35,2015-16,26,ORL,59,175,161,452,PG,39,regular,18,5,25
29,395,.433,128,2016-17,27,TOT,192,577,535,1802,PG,167,regular,70,4,81
21,287,.459,106,2016-17,27,NYK,163,496,429,1428,PG,131,regular,55,4,58
8,108,.325,22,2016-17,27,WAS,29,81,106,374,PG,36,regular,15,0,23
5,25,.458,8,2009-10,20,MIL,49,131,120,249,PG,16,playoffs,8,4,7
1,16,.351,11,2012-13,23,MIL,17,53,57,133,PG,8,playoffs,9,1,4
5,24,.417,8,2016-17,27,WAS,14,37,36,178,PG,14,playoffs,2,0,13
