off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
34,66,.490,75,2008-09,23,IND,243,610,575,1803,SG,199,regular,38,37,75
41,112,.511,93,2009-10,24,IND,297,774,702,2491,SG,305,regular,56,65,82
33,62,.512,69,2010-11,25,IND,217,607,515,1754,SG,184,regular,41,35,67
33,88,.607,68,2011-12,26,GSW,235,634,469,1717,SF,218,regular,35,58,65
0,2,.667,3,2012-13,27,GSW,6,14,9,25,SF,1,regular,0,0,2
5,24,.422,20,2013-14,28,UTA,30,79,90,418,SG,39,regular,5,9,38
4,12,.231,11,2014-15,29,GSW,11,30,54,271,SG,37,regular,5,12,33
21,57,.552,33,2015-16,30,GSW,111,305,260,1055,SG,160,regular,20,23,72
16,45,.492,28,2016-17,31,MIN,70,197,187,1030,SG,83,regular,22,23,47
0,3,.577,1,2010-11,25,IND,6,16,13,55,SG,7,playoffs,1,1,5
1,0,.250,0,2014-15,29,GSW,1,3,6,7,SG,2,playoffs,0,0,3
0,3,.550,2,2015-16,30,GSW,9,23,20,110,SG,23,playoffs,2,2,14
