off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
273,71,.528,108,2007-08,28,WAS,316,848,599,2228,C,303,regular,31,133,80
13,8,.480,9,2008-09,29,WAS,24,58,50,175,C,31,regular,4,15,6
278,43,.562,99,2009-10,30,TOT,276,704,491,2355,C,437,regular,26,158,77
200,18,.561,67,2009-10,30,WAS,188,478,335,1614,C,307,regular,18,101,49
78,25,.564,32,2009-10,30,DAL,88,226,156,741,C,130,regular,8,57,28
129,19,.574,51,2010-11,31,DAL,128,320,223,1331,C,247,regular,16,74,72
139,19,.518,46,2011-12,32,DAL,118,281,228,1146,C,185,regular,24,54,54
125,29,.431,50,2012-13,33,CHA,93,216,216,1162,C,165,regular,16,49,61
6,2,.467,10,2014-15,35,CLE,14,35,30,119,C,23,regular,2,10,22
13,5,.591,6,2007-08,28,WAS,26,72,44,178,C,27,playoffs,4,9,6
18,3,.571,3,2009-10,30,DAL,12,36,21,139,C,19,playoffs,7,10,6
34,4,.581,13,2010-11,31,DAL,18,56,31,275,C,39,playoffs,2,18,18
7,1,.286,2,2011-12,32,DAL,4,13,14,61,C,6,playoffs,1,2,4
0,0,.000,0,2014-15,35,CLE,0,0,1,2,C,0,playoffs,0,0,1
