off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
96,21,.616,26,2007-08,24,HOU,135,342,219,711,PF,111,regular,17,7,42
124,39,.575,68,2008-09,25,HOU,240,638,418,1467,PF,219,regular,26,31,69
188,66,.537,136,2009-10,26,TOT,499,1343,931,2469,PF,280,regular,55,63,80
122,40,.547,86,2009-10,26,HOU,302,839,552,1415,PF,164,regular,28,46,52
66,26,.521,50,2009-10,26,SAC,197,504,379,1054,PF,116,regular,27,17,28
165,63,.502,109,2010-11,27,TOT,345,903,687,2008,PF,182,regular,40,32,76
127,50,.492,82,2010-11,27,SAC,238,631,484,1406,PF,126,regular,30,20,53
38,13,.527,27,2010-11,27,NOH,107,272,203,602,PF,56,regular,10,12,23
78,38,.503,64,2011-12,28,NOH,182,511,362,999,PF,136,regular,13,12,41
180,65,.541,115,2012-13,29,GSW,325,874,602,1876,PF,303,regular,35,31,81
15,5,.517,9,2013-14,30,SAC,31,76,60,233,PF,42,regular,3,1,18
99,26,.515,54,2014-15,31,SAC,190,503,369,1192,PF,169,regular,15,17,70
49,32,.568,22,2015-16,32,PHI,139,351,250,569,PF,97,regular,12,9,36
15,0,.423,2,2007-08,24,HOU,11,34,26,106,PF,13,playoffs,7,3,6
16,3,.557,14,2008-09,25,HOU,39,97,70,240,PF,35,playoffs,4,5,13
11,6,.456,12,2010-11,27,NOH,31,95,68,213,PF,19,playoffs,4,3,6
22,17,.520,19,2012-13,29,GSW,52,142,100,246,PF,40,playoffs,7,2,12
