off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
197,233,.547,210,2007-08,26,UTA,709,1708,1297,2827,PF,647,regular,100,41,81
111,79,.490,79,2008-09,27,UTA,251,599,512,1197,PF,274,regular,39,7,37
181,247,.562,212,2009-10,28,UTA,617,1519,1098,2673,PF,693,regular,84,36,78
130,145,.510,149,2010-11,29,CHI,431,1033,845,1882,C,435,regular,45,18,59
114,125,.532,115,2011-12,30,CHI,448,991,842,1948,PF,450,regular,63,24,66
175,179,.477,176,2012-13,31,CHI,544,1281,1140,2546,PF,596,regular,66,28,79
137,118,.456,154,2013-14,32,CHI,447,1042,980,2141,PF,495,regular,53,22,76
111,95,.499,92,2014-15,33,LAL,371,836,743,1692,PF,371,regular,41,12,71
42,34,.415,36,2007-08,26,UTA,76,192,183,441,PF,105,playoffs,6,2,12
12,11,.528,15,2008-09,27,UTA,38,103,72,186,PF,54,playoffs,8,2,5
33,30,.530,24,2009-10,28,UTA,89,197,168,402,PF,99,playoffs,4,7,10
40,28,.433,28,2010-11,29,CHI,77,202,178,507,C,115,playoffs,9,7,16
10,18,.422,23,2011-12,30,CHI,38,81,90,200,PF,49,playoffs,5,2,6
35,18,.494,29,2012-13,31,CHI,83,197,168,431,PF,80,playoffs,10,1,12
8,5,.426,7,2013-14,32,CHI,20,48,47,121,PF,31,playoffs,1,0,5
