off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
178,259,.511,253,2007-08,23,DEN,728,1978,1481,2806,SF,393,regular,98,39,77
106,222,.469,199,2008-09,24,DEN,535,1504,1207,2277,SF,344,regular,75,24,66
152,222,.478,209,2009-10,25,DEN,688,1943,1502,2634,SF,302,regular,88,30,69
118,221,.487,206,2010-11,26,TOT,684,1970,1503,2751,SF,445,regular,68,46,77
77,140,.474,142,2010-11,26,DEN,437,1259,967,1774,SF,305,regular,43,31,50
41,81,.510,64,2010-11,26,NYK,247,711,536,977,SF,140,regular,25,15,27
88,200,.463,144,2011-12,27,NYK,441,1245,1025,1876,SF,256,regular,62,24,55
134,171,.502,175,2012-13,28,NYK,669,1920,1489,2482,PF,326,regular,52,32,67
145,242,.503,198,2013-14,29,NYK,743,2112,1643,2982,PF,477,regular,95,51,77
72,122,.482,89,2014-15,30,NYK,358,966,806,1428,SF,192,regular,40,17,40
98,299,.474,176,2015-16,31,NYK,567,1573,1307,2530,SF,458,regular,62,38,72
62,213,.488,153,2016-17,32,NYK,602,1659,1389,2538,SF,376,regular,60,34,74
19,8,.375,12,2007-08,23,DEN,32,90,88,146,SF,19,playoffs,2,1,4
26,65,.491,37,2008-09,24,DEN,146,435,322,612,SF,67,playoffs,28,10,16
14,20,.486,21,2009-10,25,DEN,64,184,138,254,SF,37,playoffs,12,3,6
13,19,.426,13,2010-11,26,NYK,33,104,88,156,SF,28,playoffs,5,3,4
13,11,.435,14,2011-12,27,NYK,52,139,124,204,SF,28,playoffs,6,1,5
11,19,.434,31,2012-13,28,NYK,126,346,310,481,PF,68,playoffs,13,2,12
