off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
7,13,.429,9,2008-09,24,CHA,28,86,77,266,SF,26,regular,8,4,33
25,16,.430,19,2009-10,25,TOT,50,141,136,390,SF,43,regular,11,1,18
17,9,.420,13,2009-10,25,GSW,32,90,88,276,SF,30,regular,8,0,10
8,7,.448,6,2009-10,25,WAS,18,51,48,114,SF,13,regular,3,1,8
20,18,.497,16,2010-11,26,WAS,71,209,182,542,SF,54,regular,18,6,52
12,10,.549,13,2011-12,27,WAS,59,158,134,391,SF,46,regular,11,2,17
11,20,.496,32,2012-13,28,WAS,96,270,252,694,SF,89,regular,19,6,41
13,33,.532,34,2013-14,29,TOT,111,329,264,870,SF,97,regular,27,7,59
12,31,.523,33,2013-14,29,ATL,106,314,256,822,SF,93,regular,26,7,53
1,2,.813,1,2013-14,29,CHI,5,15,8,48,SF,4,regular,1,0,6
0,11,.340,5,2014-15,30,DET,15,36,53,198,SF,20,regular,3,1,23
1,0,.667,1,2013-14,29,ATL,2,4,3,15,SF,2,playoffs,2,0,3
