off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
107,57,.491,55,2007-08,24,POR,221,530,453,1342,C,247,regular,29,27,78
41,24,.444,29,2008-09,25,POR,113,263,267,746,PF,99,regular,17,16,63
66,113,.573,73,2009-10,26,PHO,317,904,703,2190,C,361,regular,64,74,81
65,96,.535,73,2010-11,27,PHO,358,976,829,2541,PF,448,regular,46,79,77
71,88,.490,63,2011-12,28,PHO,255,674,613,1669,PF,308,regular,42,70,64
73,98,.535,89,2013-14,30,PHO,336,910,778,2312,PF,343,regular,60,63,82
27,94,.532,78,2014-15,31,ORL,191,549,487,1870,PF,266,regular,47,39,75
35,71,.569,43,2015-16,32,TOT,152,425,347,1200,PF-C,199,regular,29,28,70
23,45,.565,30,2015-16,32,ORL,81,229,186,754,PF,118,regular,21,20,44
12,26,.575,13,2015-16,32,CLE,71,196,161,446,C,81,regular,8,8,26
37,45,.589,53,2016-17,33,CLE,238,676,520,1398,C,253,regular,33,37,74
1,1,.357,0,2008-09,25,POR,5,12,14,36,PF,2,playoffs,0,0,4
10,15,.492,8,2009-10,26,PHO,43,131,118,435,C,80,playoffs,12,9,16
5,5,.783,5,2015-16,32,CLE,41,114,69,237,C,36,playoffs,6,9,17
0,13,.683,2,2016-17,33,CLE,31,88,60,154,C,22,playoffs,3,4,12
