off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
2,0,.286,1,2007-08,29,NOH,2,6,7,34,C,7,regular,0,4,5
163,31,.551,69,2008-09,30,DEN,160,452,292,1460,C,279,regular,41,175,71
147,33,.566,59,2009-10,31,DEN,142,448,251,1695,PF,336,regular,42,143,76
75,20,.599,25,2010-11,32,DEN,82,250,137,732,C,144,regular,23,58,45
48,6,.546,17,2011-12,33,DEN,59,168,108,486,C,100,regular,19,46,32
57,17,.585,24,2012-13,34,MIA,71,207,123,624,C,115,regular,16,44,42
129,19,.649,53,2013-14,35,MIA,177,477,275,1396,C,250,regular,32,97,72
76,43,.589,40,2014-15,36,MIA,120,320,207,1132,C,223,regular,26,61,60
36,12,.556,9,2015-16,37,TOT,38,105,72,402,C,62,regular,15,13,27
3,3,.500,2,2015-16,37,MIA,4,13,10,36,C,6,regular,1,3,7
33,9,.565,7,2015-16,37,MEM,34,92,62,366,C,56,regular,14,10,20
9,5,.409,5,2016-17,38,CLE,9,28,22,114,C,22,regular,5,7,12
29,9,.630,8,2008-09,30,DEN,34,97,54,328,C,66,playoffs,5,32,15
7,1,.529,4,2009-10,31,DEN,9,27,17,116,PF,20,playoffs,1,6,6
5,3,.636,3,2010-11,32,DEN,7,24,11,73,C,9,playoffs,3,7,5
32,3,.807,11,2012-13,34,MIA,46,128,57,303,C,44,playoffs,9,22,20
26,5,.579,9,2013-14,35,MIA,33,92,57,317,C,81,playoffs,5,18,18
13,3,.417,5,2015-16,37,MEM,5,15,12,79,C,18,playoffs,2,3,4
