off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
173,107,.483,164,2007-08,25,LAC,338,878,700,2083,C,538,regular,33,155,56
75,46,.528,84,2008-09,26,LAC,161,373,305,921,C,172,regular,17,45,31
184,120,.490,223,2009-10,27,LAC,589,1408,1202,2608,C,520,regular,37,94,76
51,46,.471,58,2010-11,28,LAC,177,397,376,838,C,174,regular,16,48,32
89,101,.446,129,2011-12,29,NOH,266,616,597,1372,C,275,regular,25,77,47
97,51,.507,103,2012-13,30,DAL,313,693,617,1363,C,275,regular,29,52,66
54,58,.509,74,2013-14,31,LAL,176,404,346,736,C,175,regular,11,40,39
149,65,.515,108,2014-15,32,POR,283,638,549,1398,C,335,regular,18,54,74
7,11,.477,8,2015-16,33,POR,20,44,43,112,C,17,regular,1,1,16
5,3,.500,3,2014-15,32,POR,4,9,8,37,C,9,playoffs,0,0,3
2,1,.389,6,2015-16,33,POR,7,14,18,32,C,6,playoffs,2,0,4
