off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
62,925,.524,201,2007-08,22,NOH,630,1684,1291,3006,PG,259,regular,217,4,80
69,861,.528,231,2008-09,23,NOH,631,1781,1255,3002,PG,363,regular,216,10,78
20,480,.534,112,2009-10,24,NOH,314,841,637,1712,PG,171,regular,96,8,45
38,782,.502,177,2010-11,25,NOH,430,1268,928,2880,PG,289,regular,188,5,80
42,543,.522,124,2011-12,26,LAC,425,1189,890,2181,PG,171,regular,152,4,60
53,678,.526,159,2012-13,27,LAC,412,1186,856,2335,PG,209,regular,169,10,70
38,663,.511,145,2013-14,28,LAC,406,1185,870,2171,PG,230,regular,154,4,62
52,838,.545,190,2014-15,29,LAC,568,1564,1170,2857,PG,324,regular,156,15,82
39,738,.517,194,2015-16,30,LAC,515,1446,1114,2420,PG,271,regular,152,13,74
40,563,.555,147,2016-17,31,LAC,374,1104,785,1921,PG,264,regular,119,8,61
16,135,.514,22,2007-08,22,NOH,111,289,221,486,PG,43,playoffs,28,2,12
4,52,.445,24,2008-09,23,NOH,30,83,73,201,PG,18,playoffs,8,0,5
3,69,.604,22,2010-11,25,NOH,42,132,77,250,PG,37,playoffs,11,0,6
6,87,.466,43,2011-12,26,LAC,70,194,164,423,PG,50,playoffs,30,1,11
3,38,.565,9,2012-13,27,LAC,49,137,92,224,PG,21,playoffs,11,0,6
12,134,.548,39,2013-14,28,LAC,92,257,197,472,PG,43,playoffs,37,0,13
7,105,.574,26,2014-15,29,LAC,95,265,189,445,PG,46,playoffs,22,3,12
4,29,.526,4,2015-16,30,LAC,37,95,76,125,PG,12,playoffs,9,0,4
4,69,.548,19,2016-17,31,LAC,67,177,135,260,PG,31,playoffs,12,1,7
