off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
132,91,.511,62,2007-08,24,HOU,113,237,221,1575,PF,295,regular,85,43,79
74,42,.372,25,2008-09,25,HOU,42,91,113,858,C,176,regular,34,19,71
151,139,.489,74,2009-10,26,HOU,161,358,329,1773,C,314,regular,73,43,82
219,202,.527,86,2010-11,27,HOU,244,582,463,2079,C,380,regular,79,49,74
72,77,.429,50,2011-12,28,SAC,73,172,170,1039,C,162,regular,36,17,54
113,112,.442,44,2012-13,29,SAC,84,198,190,1209,C,186,regular,31,18,74
69,35,.431,33,2013-14,30,TOT,56,132,130,754,C,141,regular,34,12,61
20,6,.438,7,2013-14,30,SAC,14,33,32,179,C,27,regular,11,2,16
49,29,.429,26,2013-14,30,TOR,42,99,98,575,C,114,regular,23,10,45
18,20,.478,8,2014-15,31,TOR,22,50,46,255,C,33,regular,10,4,29
0,2,.500,3,2015-16,32,HOU,1,4,2,24,C,8,regular,0,0,2
7,5,.636,4,2007-08,24,HOU,7,14,11,108,PF,21,playoffs,3,6,6
13,10,.476,4,2008-09,25,HOU,10,20,21,173,C,26,playoffs,13,2,13
4,2,.250,1,2013-14,30,TOR,2,6,8,38,C,4,playoffs,3,0,5
