off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
82,111,.382,89,2007-08,21,MIN,182,459,486,1803,SF,210,regular,76,25,79
18,25,.439,13,2008-09,22,MIN,37,93,90,307,SF,31,regular,15,3,15
70,193,.474,164,2009-10,23,MIN,409,1066,949,2482,SG,209,regular,117,29,82
57,89,.426,87,2010-11,24,TOT,193,552,488,1510,SF-SG,118,regular,100,16,69
45,77,.414,77,2010-11,24,MIN,168,483,437,1362,SF,107,regular,89,14,56
12,12,.529,10,2010-11,24,DAL,25,69,51,148,SG,11,regular,11,2,13
43,88,.470,56,2011-12,25,DEN,201,525,463,1287,SF,107,regular,72,17,59
55,124,.476,102,2012-13,26,DEN,375,990,883,2003,SF,180,regular,118,23,82
63,135,.517,105,2013-14,27,MIN,388,998,807,2609,SF,144,regular,151,30,81
80,173,.465,131,2014-15,28,TOT,343,917,805,2087,SF,217,regular,114,19,80
32,78,.436,50,2014-15,28,MIN,94,251,225,680,SF,62,regular,54,4,24
48,95,.477,81,2014-15,28,HOU,249,666,580,1407,SF,155,regular,60,15,56
42,109,.439,78,2015-16,29,HOU,212,590,552,1669,SF,157,regular,84,19,82
32,97,.461,55,2016-17,30,TOT,147,371,348,1281,SF,134,regular,61,20,82
21,61,.463,36,2016-17,30,HOU,94,242,227,923,SF,93,regular,37,12,58
11,36,.459,19,2016-17,30,LAL,53,129,121,358,SF,41,regular,24,8,24
0,1,.500,2,2010-11,24,DAL,4,9,9,23,SG,2,playoffs,4,0,6
6,6,.481,2,2011-12,25,DEN,23,58,54,116,SF,8,playoffs,7,2,7
3,7,.375,7,2012-13,26,DEN,21,65,68,146,SF,8,playoffs,6,1,6
11,19,.467,15,2014-15,28,HOU,72,191,167,428,SF,36,playoffs,11,4,17
3,8,.278,6,2015-16,29,HOU,7,22,27,77,SF,4,playoffs,0,1,5
