off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
18,91,.526,69,2008-09,23,ORL,243,646,540,1939,SG,160,regular,76,14,77
60,121,.485,76,2009-10,24,NJN,338,885,775,2375,SG,192,regular,93,20,71
51,100,.501,68,2010-11,25,HOU,253,672,576,1723,SG,158,regular,58,18,81
26,88,.508,64,2011-12,26,HOU,251,660,580,1757,SG,133,regular,68,22,58
31,143,.519,84,2012-13,27,BOS,246,612,530,1941,SG,159,regular,89,21,78
29,115,.539,73,2013-14,28,TOT,295,761,614,1973,SG,158,regular,65,28,79
8,32,.555,25,2013-14,28,BOS,90,221,183,504,SG,41,regular,20,9,30
21,83,.532,48,2013-14,28,MEM,205,540,431,1469,SG,117,regular,45,19,49
21,151,.518,78,2014-15,29,MEM,288,777,643,2354,SG,157,regular,75,12,77
29,136,.518,72,2015-16,30,TOT,290,761,639,2334,SG,176,regular,85,28,79
19,76,.519,49,2015-16,30,MEM,192,511,419,1489,SG,99,regular,52,16,51
10,60,.516,23,2015-16,30,CHO,98,250,220,845,SG,77,regular,33,12,28
53,179,.533,69,2016-17,31,NYK,321,835,704,2459,SG,206,regular,81,24,77
6,27,.474,20,2008-09,23,ORL,67,169,154,550,SG,33,playoffs,19,3,21
0,1,.200,0,2012-13,27,BOS,1,6,5,39,SG,2,playoffs,2,0,4
3,11,.467,6,2013-14,28,MEM,25,70,60,224,SG,11,playoffs,5,2,7
3,24,.620,13,2014-15,29,MEM,55,146,100,367,SG,25,playoffs,12,0,11
5,9,.451,5,2015-16,30,CHO,21,60,51,257,SG,15,playoffs,6,3,7
