off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
7,12,.443,10,2007-08,27,SAC,23,81,53,206,SG,28,regular,8,6,25
58,78,.475,68,2008-09,28,DEN,154,429,336,1426,SG,110,regular,49,19,79
48,150,.464,129,2009-10,29,IND,287,776,623,1892,SF,181,regular,40,39,76
4,33,.500,31,2010-11,30,IND,100,283,214,589,SG,61,regular,20,7,45
23,63,.468,46,2011-12,31,IND,115,346,281,1052,SF,94,regular,23,11,65
24,48,.394,38,2012-13,32,TOT,82,262,222,1016,SF,77,regular,22,6,78
13,28,.386,22,2012-13,32,DAL,50,174,140,635,SF,57,regular,10,5,50
11,20,.409,16,2012-13,32,ATL,32,88,82,381,SF,20,regular,12,1,28
1,2,.286,1,2014-15,34,LAC,6,21,21,123,SF,10,regular,3,0,33
1,2,.464,0,2015-16,35,CLE,6,13,14,42,SF,4,regular,1,2,1
1,1,.375,1,2016-17,36,CLE,3,9,8,12,SF,1,regular,0,0,1
16,10,.500,13,2008-09,28,DEN,38,112,79,280,SG,22,playoffs,13,5,16
2,2,.450,3,2010-11,30,IND,9,26,20,50,SG,0,playoffs,1,0,3
4,3,.278,3,2011-12,31,IND,4,17,18,58,SF,3,playoffs,1,0,7
0,0,.250,1,2012-13,32,ATL,1,4,4,19,SF,1,playoffs,0,0,5
0,0,1.000,0,2014-15,34,LAC,2,4,2,18,SF,1,playoffs,2,0,11
0,2,.500,1,2015-16,35,CLE,6,17,13,50,SF,7,playoffs,1,1,15
1,1,.550,1,2016-17,36,CLE,5,16,10,33,SF,6,playoffs,0,1,10
