off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
13,15,.576,15,2008-09,20,NYK,56,170,125,412,SG,42,regular,14,4,28
65,135,.523,110,2009-10,21,NYK,392,1221,927,2747,SF,333,regular,75,58,81
59,104,.495,83,2010-11,22,TOT,265,970,640,2104,PF-SF,246,regular,51,27,62
48,82,.496,58,2010-11,22,NYK,211,764,509,1671,PF,181,regular,38,18,48
11,22,.489,25,2010-11,22,DEN,54,206,131,433,SF,65,regular,13,9,14
28,116,.479,68,2011-12,23,DEN,193,628,466,1351,SF,174,regular,42,23,43
65,176,.495,111,2012-13,24,DEN,364,1149,871,2309,SF,302,regular,64,36,71
31,83,.496,57,2014-15,26,DEN,228,734,568,1426,SF,187,regular,47,20,59
52,135,.472,77,2015-16,27,DEN,287,1036,700,1839,SF,229,regular,42,19,53
39,135,.531,82,2016-17,28,DEN,335,1145,750,2134,SF,286,regular,40,15,63
1,10,.511,7,2010-11,22,DEN,19,60,44,148,SF,16,playoffs,4,0,5
9,17,.383,9,2011-12,23,DEN,34,94,94,222,SF,27,playoffs,5,4,7
