off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
8,5,.462,5,2009-10,22,CLE,15,40,39,115,SG,9,regular,6,3,20
3,2,.586,5,2010-11,23,SAS,17,41,35,92,SG,12,regular,2,1,8
54,86,.549,67,2011-12,24,SAS,211,603,477,1522,SG,174,regular,58,46,66
36,141,.581,94,2012-13,25,SAS,297,838,663,2201,SG,208,regular,92,54,80
25,104,.562,76,2013-14,26,SAS,218,618,505,1651,SG,204,regular,65,61,68
54,158,.566,93,2014-15,27,SAS,322,946,738,2312,SG,289,regular,101,87,81
48,141,.480,75,2015-16,28,SAS,211,572,561,2062,SG,255,regular,79,64,79
31,124,.523,76,2016-17,29,SAS,176,497,449,1807,SG,193,regular,70,57,68
0,2,.417,1,2010-11,23,SAS,2,5,6,7,SG,1,playoffs,1,1,4
3,15,.527,15,2011-12,24,SAS,38,103,91,289,SG,42,playoffs,7,10,14
18,32,.594,19,2012-13,25,SAS,83,233,186,669,SG,69,playoffs,22,23,21
9,21,.642,20,2013-14,26,SAS,78,213,159,529,SG,60,playoffs,32,17,23
7,15,.443,5,2014-15,27,SAS,21,58,61,204,SG,15,playoffs,7,7,7
0,7,.646,6,2015-16,28,SAS,30,86,65,267,SG,31,playoffs,21,8,10
13,23,.523,17,2016-17,29,SAS,45,124,111,436,SG,44,playoffs,10,15,16
