off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
2,21,.476,19,2011-12,21,LAL,18,46,42,169,PG,14,regular,2,0,19
24,76,.452,45,2012-13,22,LAL,73,194,188,683,PG,33,regular,21,2,48
7,44,.469,27,2013-14,23,TOT,39,107,96,313,PG,19,regular,13,0,27
3,31,.507,19,2013-14,23,PHI,29,83,67,193,PG,10,regular,8,0,12
0,5,.308,2,2013-14,23,LAC,4,9,13,54,PG,5,regular,2,0,10
4,8,.438,6,2013-14,23,MEM,6,15,16,66,PG,4,regular,3,0,5
7,48,.373,21,2014-15,24,BRK,36,83,106,299,PG,20,regular,9,0,38
0,3,1.167,1,2011-12,21,LAL,3,10,3,8,PG,0,playoffs,0,0,4
1,12,.500,6,2012-13,22,LAL,16,42,35,105,PG,4,playoffs,2,0,4
0,0,.000,0,2014-15,24,BRK,0,0,1,5,PG,0,playoffs,0,0,1
