off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
200,65,.556,112,2009-10,20,SAS,275,638,495,1494,PF,326,regular,50,39,82
215,77,.501,113,2010-11,21,SAS,292,674,583,1734,PF,350,regular,95,42,81
154,78,.534,92,2011-12,22,SAS,269,611,504,1363,PF,197,regular,59,12,64
66,45,.524,49,2012-13,23,SAS,142,328,271,851,PF,164,regular,37,10,61
139,70,.534,77,2013-14,24,DAL,210,497,393,1214,PF,229,regular,60,21,78
16,3,.456,13,2014-15,25,WAS,26,56,57,180,PF,40,regular,7,1,29
20,11,.412,15,2015-16,26,WAS,28,61,68,218,C,37,regular,8,2,29
19,5,.500,2,2009-10,20,SAS,16,37,32,91,PF,20,playoffs,5,4,10
9,2,.333,2,2010-11,21,SAS,7,17,21,50,PF,4,playoffs,0,1,4
7,2,.630,1,2011-12,22,SAS,17,37,27,76,PF,16,playoffs,3,1,10
6,7,.618,1,2012-13,23,SAS,21,47,34,76,PF,18,playoffs,5,1,12
14,1,.593,5,2013-14,24,DAL,16,40,27,81,PF,23,playoffs,12,0,6
