off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
31,229,.463,117,2007-08,24,TOT,196,507,475,1533,PG,162,regular,59,29,61
13,113,.426,66,2007-08,24,SEA,97,239,250,727,PG,83,regular,30,10,35
18,116,.504,51,2007-08,24,CLE,99,268,225,806,PG,79,regular,29,19,26
31,226,.530,92,2008-09,25,CLE,285,751,624,2152,SG,172,regular,94,13,64
29,196,.474,90,2009-10,26,CLE,194,528,436,1500,SG,140,regular,55,28,60
6,64,.508,30,2010-11,27,BOS,55,135,120,453,PG,31,regular,20,10,24
13,139,.499,76,2011-12,28,DAL,166,421,360,1060,PG,88,regular,58,11,44
8,54,.482,32,2007-08,24,CLE,44,141,110,453,PG,35,playoffs,15,6,13
6,58,.503,34,2008-09,25,CLE,73,193,157,591,SG,43,playoffs,19,7,14
6,29,.440,19,2009-10,26,CLE,28,74,67,269,SG,15,playoffs,9,3,11
4,12,.543,12,2010-11,27,BOS,22,59,47,170,PG,13,playoffs,5,0,9
2,8,.481,3,2011-12,28,DAL,11,30,26,88,PG,5,playoffs,3,0,4
