off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
96,512,.482,202,2008-09,20,CHI,574,1361,1208,3000,PG,221,regular,66,18,81
65,469,.495,217,2009-10,21,CHI,672,1619,1373,2871,PG,228,regular,57,27,78
81,623,.485,278,2010-11,22,CHI,711,2026,1597,3026,PG,249,regular,85,51,81
26,307,.473,119,2011-12,23,CHI,302,852,695,1375,PG,105,regular,35,28,39
9,43,.402,34,2013-14,25,CHI,58,159,164,311,PG,23,regular,5,1,10
35,251,.450,161,2014-15,26,CHI,338,904,835,1530,PG,126,regular,36,16,51
46,311,.448,175,2015-16,27,CHI,447,1080,1048,2097,PG,179,regular,44,14,66
66,283,.477,147,2016-17,28,NYK,460,1154,977,2082,PG,180,regular,44,17,64
12,45,.492,35,2008-09,20,CHI,59,138,120,313,PG,32,playoffs,4,5,7
4,36,.464,13,2009-10,21,CHI,57,134,125,212,PG,13,playoffs,4,0,5
20,123,.430,59,2010-11,22,CHI,149,434,376,649,PG,49,playoffs,22,11,16
3,9,.457,5,2011-12,23,CHI,9,23,23,37,PG,6,playoffs,1,1,1
13,78,.445,38,2014-15,26,CHI,93,244,235,454,PG,45,playoffs,14,6,12
