off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
58,53,.354,51,2012-13,22,GSW,84,227,257,1061,SF,202,regular,42,25,79
86,152,.467,91,2013-14,23,GSW,187,511,459,1797,SF,323,regular,102,72,82
114,291,.516,133,2014-15,24,GSW,339,921,765,2490,PF,533,regular,123,99,79
134,598,.551,259,2015-16,25,GSW,401,1131,819,2808,PF,635,regular,119,113,81
98,533,.481,184,2016-17,26,GSW,272,776,650,2471,PF,501,regular,154,106,76
14,19,.509,12,2012-13,22,GSW,24,70,56,223,SF,37,playoffs,6,10,12
18,20,.533,17,2013-14,23,GSW,28,83,60,228,SF,40,playoffs,12,12,7
46,109,.467,58,2014-15,24,GSW,100,288,240,784,PF,166,playoffs,38,25,21
38,138,.500,56,2015-16,25,GSW,119,355,276,879,PF,190,playoffs,37,41,23
20,110,.547,36,2016-17,26,GSW,72,222,161,593,PF,135,playoffs,31,28,17
