off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
67,29,.405,48,2007-08,26,MIA,132,326,327,889,C,131,regular,19,8,46
31,8,.441,11,2009-10,28,NYK,30,82,68,232,C,46,regular,4,4,7
32,11,.323,16,2010-11,29,TOT,32,79,99,305,C,44,regular,8,6,21
16,4,.235,11,2010-11,29,PHO,12,36,51,183,C,24,regular,6,4,12
12,4,.459,2,2010-11,29,MIL,17,36,37,85,C,10,regular,2,2,7
4,3,.273,3,2010-11,29,POR,3,7,11,37,C,10,regular,0,0,2
1,0,.500,0,2011-12,30,GSW,2,4,4,9,C,0,regular,0,0,2
22,5,.353,11,2012-13,31,TOT,18,39,51,159,C,39,regular,5,6,12
16,3,.351,10,2012-13,31,WAS,13,28,37,122,C,27,regular,5,5,11
6,2,.357,1,2012-13,31,NYK,5,11,14,37,C,12,regular,0,1,1
14,5,.333,5,2014-15,33,PHO,12,32,39,143,C,14,regular,4,2,16
0,0,,0,2010-11,29,POR,0,0,0,0,C,0,playoffs,0,0,1
