off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
18,21,.377,23,2009-10,22,PHO,56,140,151,383,PF,44,regular,7,13,51
37,9,.430,28,2010-11,23,TOT,68,163,158,464,SF,64,regular,8,18,42
4,4,.387,2,2010-11,23,PHO,12,29,31,72,SF,13,regular,1,3,9
33,5,.441,26,2010-11,23,ORL,56,134,127,392,SF,51,regular,7,15,33
35,18,.367,25,2011-12,24,ORL,51,123,139,559,PF,89,regular,12,32,45
82,65,.486,62,2012-13,25,LAL,170,428,386,1363,PF,243,regular,36,44,59
22,18,.450,31,2013-14,26,TOT,97,257,261,768,PF,121,regular,17,25,54
20,16,.458,30,2013-14,26,CLE,90,234,240,698,PF,107,regular,16,19,45
2,2,.357,1,2013-14,26,NYK,7,23,21,70,PF,14,regular,1,6,9
1,3,.433,6,2014-15,27,BRK,11,27,30,93,PF,22,regular,3,4,10
0,1,.333,2,2009-10,22,PHO,1,4,3,13,PF,2,playoffs,1,0,3
2,1,.333,0,2010-11,23,ORL,1,2,3,6,SF,2,playoffs,1,1,1
8,1,.444,4,2011-12,24,ORL,8,20,18,88,PF,25,playoffs,2,5,5
2,1,.368,6,2012-13,25,LAL,7,14,19,82,PF,10,playoffs,1,1,4
0,0,.300,0,2014-15,27,BRK,2,6,10,13,PF,2,playoffs,1,0,2
