off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
107,8,.496,54,2011-12,19,UTA,117,304,236,874,C,171,regular,18,23,66
135,31,.545,101,2012-13,20,UTA,206,506,379,1078,C,169,regular,28,32,70
222,75,.491,144,2013-14,21,UTA,419,987,853,2138,C,376,regular,28,42,80
277,55,.528,145,2014-15,22,TOT,482,1163,928,2135,C,394,regular,36,29,75
147,26,.503,93,2014-15,22,UTA,286,678,582,1326,C,237,regular,23,16,49
130,29,.571,52,2014-15,22,OKC,196,485,346,809,C,157,regular,13,13,26
249,33,.583,115,2015-16,23,OKC,414,1038,719,1721,C,415,regular,26,33,82
195,67,.549,123,2016-17,24,OKC,402,1033,737,1533,C,287,regular,32,38,72
8,1,.438,4,2011-12,19,UTA,7,14,16,43,C,8,playoffs,0,4,4
47,5,.559,17,2015-16,23,OKC,65,170,118,323,C,64,playoffs,5,11,18
3,1,.385,2,2016-17,24,OKC,10,24,26,45,C,6,playoffs,0,4,5
