off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
45,215,.529,164,2008-09,20,LAC,411,1252,901,2677,SG,156,regular,78,35,78
25,186,.525,144,2009-10,21,LAC,352,1045,784,2229,SG,135,regular,69,14,62
45,244,.506,151,2010-11,22,LAC,427,1247,949,2112,SG,119,regular,71,18,56
2,31,.486,24,2011-12,23,NOH,63,185,140,310,PG,23,regular,13,4,9
10,137,.450,117,2012-13,24,NOH,235,713,584,1264,SG,67,regular,45,8,42
30,208,.498,134,2013-14,25,NOP,356,988,817,2057,SG,135,regular,74,12,64
28,229,.512,122,2014-15,26,NOP,285,818,694,2018,SG,131,regular,50,14,61
10,121,.521,73,2015-16,27,NOP,231,686,552,1481,SG,89,regular,43,14,45
29,188,.527,121,2016-17,28,HOU,412,1217,1016,2323,SG,172,regular,48,41,75
2,15,.548,10,2014-15,26,NOP,28,74,63,143,SG,7,playoffs,2,2,4
5,22,.533,14,2016-17,28,HOU,51,142,121,358,SG,38,playoffs,8,6,11
