off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
6,21,.500,27,2009-10,23,TOT,44,136,101,334,SG,25,regular,13,6,27
2,7,.500,14,2009-10,23,HOU,13,45,29,118,SG,12,regular,4,4,9
1,2,.375,2,2009-10,23,SAC,3,11,8,23,SG,2,regular,1,0,5
3,12,.516,11,2009-10,23,SAS,28,80,64,193,SG,11,regular,8,2,13
1,32,.368,23,2010-11,24,TOT,20,57,68,230,PG-SG,22,regular,11,6,24
1,2,.200,1,2010-11,24,SAS,1,2,5,21,SG,1,regular,1,1,3
0,6,.405,2,2010-11,24,MIL,7,17,21,83,SG,6,regular,1,1,9
0,24,.369,20,2010-11,24,CHA,12,38,42,126,PG,15,regular,9,4,12
29,115,.457,61,2012-13,26,WAS,105,262,258,1156,SG,94,regular,50,17,51
21,72,.383,42,2013-14,27,WAS,51,138,141,638,SG,47,regular,35,11,75
24,56,.497,34,2014-15,28,WAS,68,204,170,735,SG,66,regular,42,9,52
36,140,.486,64,2015-16,29,WAS,201,582,505,1951,SF,176,regular,69,18,80
32,168,.519,78,2016-17,30,SAC,183,506,432,1728,SG,152,regular,84,28,65
0,2,.500,2,2009-10,23,SAS,1,4,3,15,SG,2,playoffs,1,0,6
0,0,1.250,1,2013-14,27,WAS,2,5,2,9,SG,0,playoffs,0,0,10
1,1,.167,3,2014-15,28,WAS,1,7,6,26,SG,2,playoffs,2,0,4
