off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
21,96,.553,78,2010-11,26,SAS,285,783,632,1685,SG,175,regular,27,4,80
12,117,.522,60,2011-12,27,SAS,212,557,486,1206,SG,106,regular,27,2,56
13,129,.487,69,2012-13,28,SAS,246,645,597,1484,SG,130,regular,30,2,68
10,83,.482,64,2013-14,29,TOT,193,548,471,1114,SG,80,regular,18,0,52
8,46,.462,39,2013-14,29,MIL,108,301,277,607,SG,42,regular,7,0,30
2,37,.510,25,2013-14,29,CHA,85,247,194,507,SG,38,regular,11,0,22
14,100,.423,65,2014-15,30,TOT,188,543,503,1193,SG,115,regular,23,1,54
14,80,.408,55,2014-15,30,CHO,143,413,398,931,SG,80,regular,16,1,43
0,20,.481,10,2014-15,30,MIN,45,130,105,262,SG,35,regular,7,0,11
11,47,.528,29,2015-16,31,WAS,151,390,325,807,SG,72,regular,20,1,40
0,1,.000,0,2016-17,32,ATL,0,4,7,18,SG,1,regular,0,0,2
2,5,.424,2,2010-11,26,SAS,17,46,46,111,SG,16,playoffs,1,1,6
1,19,.573,11,2011-12,27,SAS,39,105,82,217,SG,17,playoffs,2,0,14
1,15,.470,13,2012-13,28,SAS,52,143,135,390,SG,44,playoffs,3,1,21
3,4,.392,8,2013-14,29,CHA,18,45,51,104,SG,5,playoffs,0,0,4
