off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
30,136,.435,74,2008-09,22,SAS,150,438,372,1270,PG,128,regular,45,21,77
42,226,.529,101,2009-10,23,SAS,353,964,738,2276,PG,163,regular,69,26,78
24,193,.514,99,2010-11,24,SAS,287,884,633,2148,PG,175,regular,66,21,76
31,145,.513,52,2011-12,25,IND,168,481,380,1274,PG,120,regular,42,17,50
47,355,.518,116,2012-13,26,IND,386,1076,871,2620,PG,237,regular,81,26,76
53,265,.519,92,2013-14,27,IND,272,781,616,2434,PG,230,regular,75,23,76
25,220,.541,69,2014-15,28,IND,255,692,535,1267,PG,154,regular,44,14,43
58,259,.528,101,2015-16,29,IND,326,894,739,2524,PG,240,regular,83,17,74
23,204,.554,85,2016-17,30,UTA,289,829,606,1544,PG,144,regular,50,11,49
3,2,.405,2,2008-09,22,SAS,7,23,21,76,PG,5,playoffs,2,1,4
5,7,.505,8,2009-10,23,SAS,46,134,102,344,PG,26,playoffs,10,2,10
5,14,.440,8,2010-11,24,SAS,20,70,50,189,PG,25,playoffs,9,2,6
9,32,.519,22,2011-12,25,IND,47,148,105,346,PG,16,playoffs,13,3,11
5,77,.483,40,2012-13,26,IND,83,263,207,685,PG,62,playoffs,22,4,18
13,57,.522,28,2013-14,27,IND,79,230,178,687,PG,58,playoffs,23,4,19
6,15,.675,8,2015-16,29,IND,32,95,57,235,PG,13,playoffs,6,1,7
8,29,.531,13,2016-17,30,UTA,46,125,98,281,PG,25,playoffs,2,1,8
