off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
13,29,.394,32,2007-08,22,TOT,52,153,151,362,SF,51,regular,8,4,30
11,29,.382,32,2007-08,22,MIN,49,147,148,358,SF,51,regular,8,4,29
2,0,1.000,0,2007-08,22,HOU,3,6,3,4,SF,0,regular,0,0,1
14,15,.478,33,2008-09,23,DAL,79,199,180,376,SG,40,regular,10,5,38
15,34,.548,55,2011-12,26,NJN,154,400,320,781,SF,93,regular,28,17,31
31,50,.435,53,2012-13,27,IND,155,421,424,1080,SF,110,regular,19,23,60
48,122,.547,145,2013-14,28,PHO,448,1295,1006,2330,SG,227,regular,70,42,82
33,91,.504,104,2014-15,29,PHO,324,884,778,1446,SG,153,regular,42,12,74
25,56,.463,46,2015-16,30,MIA,230,616,587,1557,SG,138,regular,38,19,69
16,33,.494,25,2016-17,31,BOS,95,262,232,538,SF,68,regular,9,7,47
0,0,.321,2,2008-09,23,DAL,4,11,14,26,SG,2,playoffs,1,0,6
2,3,.530,6,2012-13,27,IND,21,55,50,105,SF,10,playoffs,0,1,9
2,1,.367,2,2015-16,30,MIA,16,40,49,110,SG,15,playoffs,4,1,12
2,9,.618,7,2016-17,31,BOS,34,97,72,192,SF,18,playoffs,3,1,13
