off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
95,28,.484,65,2007-08,22,BOS,107,313,221,940,C,113,regular,31,20,69
121,69,.444,71,2008-09,23,BOS,199,530,450,1637,C,180,regular,53,19,76
101,35,.437,53,2009-10,24,BOS,122,340,279,933,PF,104,regular,21,14,54
101,92,.449,85,2010-11,25,BOS,359,915,801,2298,C,324,regular,78,30,78
107,47,.423,75,2011-12,26,ORL,225,566,534,1427,PF,224,regular,43,19,61
55,70,.448,64,2012-13,27,ORL,214,512,478,1064,PF,191,regular,32,21,34
108,77,.460,76,2013-14,28,TOT,271,641,593,1662,PF,243,regular,58,29,68
87,70,.457,59,2013-14,28,ORL,232,545,512,1354,PF,195,regular,46,22,45
21,7,.481,17,2013-14,28,LAC,39,96,81,308,PF,48,regular,12,7,23
43,39,.459,39,2014-15,29,LAC,117,294,255,904,PF,126,regular,41,21,74
12,7,.412,10,2007-08,22,BOS,14,39,34,137,C,13,playoffs,5,4,17
33,25,.491,20,2008-09,23,BOS,86,221,175,510,C,46,playoffs,18,8,14
39,10,.476,22,2009-10,24,BOS,59,175,124,483,PF,70,playoffs,19,9,24
7,8,.391,9,2010-11,25,BOS,18,44,46,191,C,25,playoffs,3,0,9
23,4,.438,9,2011-12,26,ORL,39,95,89,190,PF,23,playoffs,3,6,5
14,9,.610,7,2013-14,28,LAC,25,50,41,158,PF,22,playoffs,3,3,13
9,3,.447,9,2014-15,29,LAC,17,41,38,144,PF,18,playoffs,5,5,14
