off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
33,111,.438,73,2008-09,22,PHO,88,246,224,728,PG,70,regular,29,3,55
38,241,.527,126,2009-10,23,PHO,222,635,491,1442,PG,133,regular,48,8,80
36,204,.499,117,2010-11,24,TOT,192,523,441,1234,PG,106,regular,50,10,70
24,149,.465,96,2010-11,24,PHO,133,353,316,856,PG,62,regular,36,6,48
12,55,.584,21,2010-11,24,HOU,59,170,125,378,PG,44,regular,14,4,22
53,351,.518,157,2011-12,25,HOU,277,775,600,1752,PG,115,regular,85,10,66
60,569,.491,212,2012-13,26,PHO,401,1134,906,2581,PG,178,regular,124,26,77
69,447,.561,213,2013-14,27,PHO,552,1542,1093,2668,SG,176,regular,104,22,76
81,350,.546,173,2014-15,28,TOT,502,1275,1002,2640,SG-PG,193,regular,78,15,78
51,211,.549,114,2014-15,28,PHO,340,843,679,1735,SG,134,regular,50,9,52
30,139,.539,59,2014-15,28,MIA,162,432,323,905,PG,59,regular,28,6,26
54,419,.513,185,2015-16,29,MIA,417,1018,875,2363,PG,223,regular,71,17,72
62,423,.527,212,2016-17,30,MIA,534,1483,1124,2459,PG,217,regular,89,13,73
10,36,.495,16,2009-10,23,PHO,43,122,100,237,PG,19,playoffs,4,1,16
11,54,.481,31,2015-16,29,MIA,91,231,206,472,PG,58,playoffs,6,3,14
