off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
123,53,.512,85,2007-08,25,MEM,328,852,653,1754,PF,233,regular,36,28,75
129,66,.494,98,2008-09,26,MEM,340,951,693,2029,PF,277,regular,48,39,82
127,52,.483,80,2009-10,27,TOT,265,733,550,1557,PF,187,regular,24,18,76
87,35,.483,57,2009-10,27,MIL,182,490,378,1024,PF,125,regular,17,10,48
40,17,.483,23,2009-10,27,CHI,83,243,172,533,PF,62,regular,7,8,28
88,69,.512,79,2010-11,28,PHO,228,669,446,1416,PF,208,regular,32,9,80
31,30,.414,36,2011-12,29,PHO,74,225,180,503,PF,61,regular,8,3,35
21,25,.406,29,2012-13,30,TOT,67,194,165,489,PF,68,regular,13,6,28
0,0,.500,0,2012-13,30,NOH,1,4,2,7,PF,0,regular,1,0,1
21,25,.405,29,2012-13,30,CHA,66,190,163,482,PF,68,regular,12,6,27
3,0,.182,2,2009-10,27,CHI,2,9,11,31,PF,2,playoffs,0,0,3
