off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
42,164,.446,111,2011-12,21,NYK,214,563,534,1705,PG,144,regular,101,8,59
31,75,.489,37,2012-13,22,NYK,109,305,275,996,SG,105,regular,43,7,45
81,129,.457,79,2013-14,23,NYK,183,495,484,1962,SG,227,regular,92,13,74
55,135,.481,91,2014-15,24,TOT,193,496,471,1545,SG,169,regular,81,16,62
22,78,.463,42,2014-15,24,NYK,88,224,215,625,SG,59,regular,30,3,24
33,57,.496,49,2014-15,24,CLE,105,272,256,920,SG,110,regular,51,13,38
32,92,.444,57,2015-16,25,CLE,114,311,305,1316,SG,171,regular,54,19,54
39,109,.507,78,2016-17,26,CLE,201,567,489,1937,SG,179,regular,62,27,76
0,0,.000,1,2011-12,21,NYK,0,0,2,19,PG,1,playoffs,1,0,1
18,16,.500,14,2012-13,22,NYK,41,112,100,337,SG,54,playoffs,13,3,12
23,23,.460,13,2014-15,24,CLE,59,181,164,695,SG,75,playoffs,25,16,20
10,17,.525,13,2015-16,25,CLE,25,70,60,367,SG,37,playoffs,10,3,21
6,16,.500,6,2016-17,26,CLE,25,74,60,275,SG,41,playoffs,10,3,17
