off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
7,79,.387,34,2010-11,22,TOT,43,101,115,442,PG,40,regular,18,2,43
6,64,.404,26,2010-11,22,HOU,32,74,83,329,PG,36,regular,13,2,28
1,15,.344,8,2010-11,22,MEM,11,27,32,113,PG,4,regular,5,0,15
7,41,.401,13,2011-12,23,TOT,31,72,81,234,PG,28,regular,15,2,26
2,9,.433,1,2011-12,23,GSW,12,27,30,63,PG,7,regular,4,0,6
5,32,.382,12,2011-12,23,ORL,19,45,51,171,PG,21,regular,11,2,20
12,87,.377,37,2012-13,24,TOT,56,123,159,516,PG,49,regular,21,9,52
11,57,.353,27,2012-13,24,ORL,39,85,116,378,PG,35,regular,13,6,36
1,30,.442,10,2012-13,24,MIL,17,38,43,138,PG,14,regular,8,3,16
31,179,.425,65,2013-14,25,PHO,119,261,281,1006,PG,98,regular,49,13,70
15,180,.414,78,2014-15,26,TOT,143,338,367,832,PG,85,regular,36,6,55
5,28,.344,9,2014-15,26,OKC,15,37,45,155,PG,22,regular,4,1,30
10,152,.424,69,2014-15,26,PHI,128,301,322,677,PG,63,regular,32,5,25
43,502,.440,175,2015-16,27,TOT,397,972,967,2239,PG,262,regular,88,24,77
14,154,.452,45,2015-16,27,NOP,98,239,228,617,PG,78,regular,24,6,27
29,348,.436,130,2015-16,27,PHI,299,733,739,1622,PG,184,regular,64,18,50
21,418,.458,112,2016-17,28,DET,329,758,749,1955,PG,214,regular,61,33,81
0,2,.667,1,2010-11,22,MEM,2,4,3,10,PG,2,playoffs,1,0,5
0,0,,0,2011-12,23,ORL,0,0,0,5,PG,1,playoffs,0,1,1
0,3,.000,1,2012-13,24,MIL,0,0,1,11,PG,1,playoffs,0,0,4
