off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
52,9,.515,45,2008-09,20,CLE,100,245,194,705,C,113,regular,14,30,62
110,40,.554,92,2009-10,21,CLE,289,689,522,1691,PF,290,regular,36,39,81
217,91,.458,173,2010-11,22,CLE,429,1105,936,2256,C,478,regular,48,54,80
133,45,.467,70,2011-12,23,TOT,183,452,392,1244,PF,202,regular,30,35,54
67,22,.370,39,2011-12,23,SAC,64,165,173,644,PF,110,regular,18,17,35
66,23,.543,31,2011-12,23,POR,119,287,219,600,PF,92,regular,12,18,19
266,88,.562,145,2012-13,24,POR,418,1018,744,2323,C,562,regular,48,51,80
206,96,.508,128,2013-14,25,DEN,332,814,654,1859,PF,426,regular,47,51,69
150,57,.475,96,2014-15,26,DEN,218,552,459,1411,C,302,regular,36,35,73
39,23,.516,25,2015-16,27,TOT,80,206,155,436,C,93,regular,15,14,35
22,16,.505,16,2015-16,27,DEN,55,137,109,305,C,65,regular,10,12,20
17,7,.543,9,2015-16,27,WAS,25,69,46,131,C,28,regular,5,2,15
1,1,.636,6,2009-10,21,CLE,14,39,22,79,PF,8,playoffs,0,0,11
