off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
43,128,.578,112,2007-08,22,DEN,311,907,674,1421,SG,109,regular,62,12,74
43,227,.541,150,2008-09,23,DEN,424,1233,950,2245,SG,254,regular,78,14,81
28,183,.491,139,2009-10,24,DEN,428,1156,1033,2082,SG,206,regular,99,20,75
45,175,.514,100,2010-11,25,DEN,341,969,784,1968,SF,277,regular,92,16,79
29,84,.490,46,2011-12,26,NYK,165,436,405,967,SG,107,regular,54,6,35
64,218,.484,134,2012-13,27,NYK,527,1446,1249,2678,SG,361,regular,100,24,80
35,219,.514,108,2013-14,28,NYK,396,1071,955,2421,SF,261,regular,65,20,74
30,195,.525,97,2014-15,29,TOT,315,847,755,2080,SG,188,regular,82,22,70
4,81,.466,45,2014-15,29,NYK,101,261,251,619,SG,54,regular,18,4,24
26,114,.555,52,2014-15,29,CLE,214,586,504,1461,SG,134,regular,64,18,46
43,130,.535,59,2015-16,30,CLE,353,955,850,2362,SG,174,regular,81,21,77
17,62,.479,26,2016-17,31,CLE,123,351,356,1187,SG,96,regular,40,11,41
1,7,.616,5,2007-08,22,DEN,23,73,43,108,SG,6,playoffs,4,0,4
11,45,.552,26,2008-09,23,DEN,88,239,194,435,SG,42,playoffs,17,4,16
5,10,.465,6,2009-10,24,DEN,21,67,57,159,SG,18,playoffs,4,2,6
1,5,.456,8,2010-11,25,DEN,16,49,45,76,SF,9,playoffs,2,0,5
2,11,.349,11,2011-12,26,NYK,24,61,76,175,SG,11,playoffs,6,1,5
6,15,.387,20,2012-13,27,NYK,54,157,163,351,SG,46,playoffs,11,5,11
9,22,.527,15,2014-15,29,CLE,83,231,206,560,SG,76,playoffs,17,10,18
7,29,.609,11,2015-16,30,CLE,82,242,188,730,SG,60,playoffs,26,5,21
5,13,.707,12,2016-17,31,CLE,50,145,99,487,SG,37,playoffs,13,6,18
