off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
120,23,.494,61,2008-09,21,WAS,191,489,387,1143,C,174,regular,33,75,75
88,14,.508,51,2009-10,22,WAS,156,386,307,968,C,155,regular,16,101,60
223,38,.550,102,2010-11,23,WAS,332,798,604,2193,C,411,regular,41,193,79
163,31,.556,87,2011-12,24,TOT,307,691,552,1535,C,314,regular,35,132,61
127,25,.535,68,2011-12,24,WAS,214,486,400,1124,C,235,regular,25,101,41
36,6,.612,19,2011-12,24,DEN,93,205,152,411,C,79,regular,10,31,20
158,24,.576,90,2012-13,25,DEN,303,717,527,1433,C,223,regular,30,157,79
10,2,.447,8,2013-14,26,DEN,17,35,38,79,C,7,regular,1,7,5
18,3,.532,18,2014-15,27,TOT,42,106,79,256,C,43,regular,2,20,23
14,1,.557,13,2014-15,27,DEN,34,88,61,195,C,34,regular,2,19,17
4,2,.444,5,2014-15,27,PHI,8,18,18,61,C,9,regular,0,1,6
53,3,.575,21,2015-16,28,DAL,77,172,134,370,C,80,regular,5,26,34
100,17,.652,40,2016-17,29,GSW,208,472,319,739,C,144,regular,19,67,77
23,5,.434,4,2011-12,24,DEN,23,60,53,181,C,44,playoffs,5,22,7
17,0,.581,11,2012-13,25,DEN,18,43,31,112,C,14,playoffs,4,6,6
2,0,.500,3,2015-16,28,DAL,1,4,2,14,C,1,playoffs,1,0,2
22,4,.732,8,2016-17,29,GSW,41,95,56,149,C,26,playoffs,2,15,16
