off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
35,94,.470,49,2012-13,22,DAL,141,392,367,1353,SF,152,regular,63,17,78
46,60,.524,41,2013-14,23,DAL,130,356,296,1254,SF,148,regular,59,21,78
72,94,.476,49,2014-15,24,TOT,229,628,545,1647,SF,221,regular,72,25,82
12,12,.520,10,2014-15,24,DAL,33,89,76,265,SF,17,regular,15,5,25
60,82,.469,39,2014-15,24,BOS,196,539,469,1382,SF,204,regular,57,20,57
70,135,.518,83,2015-16,25,BOS,360,1038,813,2308,SF,303,regular,126,35,73
48,155,.572,80,2016-17,26,BOS,333,999,720,2335,SF,367,regular,73,23,72
4,2,.528,3,2013-14,23,DAL,8,19,18,81,SF,8,playoffs,2,1,7
8,8,.569,5,2014-15,24,BOS,15,43,29,100,SF,12,playoffs,4,3,4
5,13,.347,7,2015-16,25,BOS,20,57,72,197,SF,34,playoffs,9,3,6
20,48,.513,12,2016-17,26,BOS,87,245,200,596,SF,95,playoffs,19,6,18
