off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
92,90,.520,51,2007-08,27,TOR,279,661,575,2166,SF,392,regular,80,108,78
58,95,.537,43,2008-09,28,TOT,222,577,474,2068,SF,307,regular,86,60,80
48,70,.533,31,2008-09,28,TOR,150,393,317,1379,SF,201,regular,65,44,54
10,25,.545,12,2008-09,28,MIA,72,184,157,689,SF,106,regular,21,16,26
26,49,.526,23,2009-10,29,CLE,114,296,247,1052,SF,165,regular,34,30,61
23,52,.484,22,2010-11,30,TOT,101,255,248,1042,SF,142,regular,28,33,59
14,45,.474,17,2010-11,30,CLE,76,189,189,764,SF,104,regular,25,27,40
9,7,.517,5,2010-11,30,LAC,25,66,59,278,SF,38,regular,3,6,19
2,5,.333,8,2011-12,31,CHA,7,18,24,123,SF,20,regular,1,5,8
7,4,.448,2,2007-08,27,TOR,11,27,29,104,SF,17,playoffs,6,3,5
3,1,1.200,2,2008-09,28,MIA,5,12,5,40,SF,6,playoffs,1,1,3
2,5,.750,0,2009-10,29,CLE,14,38,24,113,SF,14,playoffs,4,5,11
