off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
47,137,.484,106,2009-10,20,OKC,233,753,578,1738,SG,197,regular,80,20,76
42,176,.518,106,2010-11,21,OKC,298,998,684,2189,SG,213,regular,92,24,82
30,229,.582,137,2011-12,22,OKC,309,1044,629,1946,SG,222,regular,62,15,62
62,455,.504,295,2012-13,23,HOU,585,2023,1337,2985,SG,317,regular,142,38,78
61,446,.529,265,2013-14,24,HOU,549,1851,1205,2777,SG,283,regular,115,29,73
75,565,.511,321,2014-15,25,HOU,647,2217,1470,2981,SG,384,regular,154,60,81
63,612,.512,374,2015-16,26,HOU,710,2376,1617,3125,SG,438,regular,139,51,82
95,907,.525,464,2016-17,27,HOU,674,2356,1533,2947,PG,564,regular,121,38,81
1,11,.484,3,2009-10,20,OKC,12,46,31,120,SG,14,playoffs,6,1,6
10,61,.558,28,2010-11,21,OKC,66,221,139,537,SG,81,playoffs,21,13,17
13,68,.509,42,2011-12,22,OKC,93,326,214,630,SG,89,playoffs,31,2,20
5,27,.457,27,2012-13,23,HOU,45,158,115,243,SG,35,playoffs,12,6,6
5,35,.436,21,2013-14,24,HOU,50,161,133,263,SG,23,playoffs,12,1,6
12,128,.509,77,2014-15,25,HOU,129,462,294,636,SG,85,playoffs,28,7,17
7,38,.475,26,2015-16,26,HOU,41,133,100,193,SG,19,playoffs,12,1,5
7,93,.486,59,2016-17,27,HOU,90,313,218,407,PG,53,playoffs,21,5,11
