off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
43,34,.576,28,2007-08,27,POR,143,463,327,1276,SF,118,regular,24,15,58
12,20,.480,12,2008-09,28,MIA,55,169,149,630,SF,50,regular,12,14,40
4,17,.517,11,2009-10,29,MIA,43,146,119,503,SF,41,regular,11,4,36
23,43,.600,21,2010-11,30,MIA,146,475,346,1549,SF,137,regular,29,19,81
6,19,.533,10,2011-12,31,MIA,57,185,150,666,SG,43,regular,17,9,51
0,13,.475,3,2012-13,32,MIA,21,60,61,221,SF,22,regular,2,6,38
2,9,.662,4,2013-14,33,MIA,31,97,68,236,SF,21,regular,3,4,20
9,24,.525,13,2014-15,34,CLE,74,250,201,669,SF,53,regular,13,8,57
8,14,.553,13,2015-16,35,CLE,58,178,142,463,SF,42,regular,11,10,48
3,14,.647,10,2016-17,36,CLE,44,132,92,381,SF,34,regular,6,10,48
2,5,.703,4,2008-09,28,MIA,17,67,32,235,SF,14,playoffs,3,1,7
0,0,.000,1,2009-10,29,MIA,0,2,1,9,SF,0,playoffs,0,0,1
3,2,.637,4,2010-11,30,MIA,24,78,51,272,SF,27,playoffs,6,2,12
5,2,.477,4,2011-12,31,MIA,16,51,43,173,SG,15,playoffs,3,1,20
0,0,.643,2,2012-13,32,MIA,3,9,7,33,SF,3,playoffs,0,1,9
3,5,.638,0,2013-14,33,MIA,18,53,40,126,SF,8,playoffs,3,2,15
1,9,.493,5,2014-15,34,CLE,26,87,75,311,SF,28,playoffs,8,3,20
1,3,.250,1,2015-16,35,CLE,2,6,10,55,SF,3,playoffs,0,0,12
1,0,.200,2,2016-17,36,CLE,1,2,5,30,SF,3,playoffs,0,0,8
