off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
80,258,.524,166,2007-08,27,CHA,648,1788,1468,3149,SF,361,regular,116,57,82
77,146,.544,95,2008-09,28,TOT,465,1212,974,2410,SG,242,regular,76,28,72
13,36,.502,24,2008-09,28,CHA,97,262,220,491,SG,45,regular,14,3,14
64,110,.556,71,2008-09,28,PHO,368,950,754,1919,SG,197,regular,62,25,58
81,143,.553,92,2009-10,29,PHO,473,1239,998,2485,SG,323,regular,66,33,79
67,147,.536,95,2010-11,30,TOT,472,1249,1056,2715,SG,264,regular,93,13,80
33,36,.550,30,2010-11,30,PHO,183,483,389,796,SG,78,regular,27,3,25
34,111,.528,65,2010-11,30,ORL,289,766,667,1919,SG,186,regular,66,10,55
36,107,.493,60,2011-12,31,ORL,243,629,596,1591,SG,158,regular,53,22,54
19,51,.487,26,2012-13,32,PHI,135,347,336,936,SG,108,regular,40,15,33
13,38,.435,16,2014-15,34,PHI,62,172,178,416,SG,53,regular,13,3,19
18,17,.610,10,2009-10,29,PHO,112,316,223,533,SG,69,playoffs,17,4,16
5,6,.412,3,2010-11,30,ORL,17,50,51,153,SG,15,playoffs,3,2,5
4,5,.491,6,2011-12,31,ORL,21,57,53,148,SG,15,playoffs,6,2,5
