off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
77,20,.461,48,2007-08,21,PHI,141,340,310,1107,PF,153,regular,22,50,76
54,33,.460,35,2009-10,23,PHI,75,189,174,658,PF,81,regular,21,28,56
89,36,.443,53,2010-11,24,NOH,136,331,307,1102,C,152,regular,26,32,77
72,34,.522,40,2011-12,25,NOH,181,396,348,947,PF,124,regular,21,41,40
64,34,.490,55,2012-13,26,NOH,167,420,341,876,C,122,regular,15,45,51
51,29,.465,28,2013-14,27,NOP,131,301,282,830,PF,130,regular,11,29,31
98,140,.447,104,2014-15,28,NYK,257,656,592,1785,C,226,regular,32,44,82
53,62,.489,57,2015-16,29,ORL,244,546,503,1181,C,166,regular,33,65,76
64,37,.585,58,2016-17,30,WAS,174,420,329,1068,C,194,regular,21,54,74
4,3,.444,2,2007-08,21,PHI,8,20,18,82,PF,11,playoffs,1,5,6
1,1,.467,0,2010-11,24,NOH,7,14,15,58,C,6,playoffs,2,0,6
10,4,.526,10,2016-17,30,WAS,19,51,39,157,C,19,playoffs,2,7,13
