off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
30,264,.535,92,2007-08,30,DAL,471,1269,1008,2579,SG,178,regular,88,18,82
39,251,.535,119,2008-09,31,DAL,541,1447,1168,2491,SG,138,regular,97,20,74
19,292,.503,109,2009-10,32,DAL,456,1280,1041,2540,SG,121,regular,94,17,77
24,334,.509,167,2010-11,33,DAL,492,1293,1091,2564,SG,129,regular,93,13,82
16,226,.513,127,2011-12,34,DAL,357,950,830,2000,SG,133,regular,73,11,63
19,198,.529,102,2012-13,35,BOS,281,799,648,2124,SG,140,regular,66,11,79
4,56,.490,27,2013-14,36,BRK,55,159,152,570,PG,33,regular,13,0,35
15,147,.563,74,2014-15,37,HOU,188,541,446,1641,SG,106,regular,66,19,77
14,103,.525,49,2015-16,38,HOU,151,422,376,1258,SG,65,regular,47,9,72
15,98,.582,36,2016-17,39,MIL,105,307,243,1365,SG,91,regular,46,20,74
1,24,.550,5,2007-08,30,DAL,26,79,60,180,SG,7,playoffs,2,1,5
6,19,.476,16,2008-09,31,DAL,49,143,126,325,SG,22,playoffs,6,3,10
2,12,.464,6,2009-10,32,DAL,26,76,69,174,SG,13,playoffs,4,1,6
6,67,.556,32,2010-11,33,DAL,128,368,268,684,SG,34,playoffs,26,3,21
1,15,.568,8,2011-12,34,DAL,20,55,44,139,SG,8,playoffs,1,0,4
0,12,.583,5,2012-13,35,BOS,24,72,54,189,SG,13,playoffs,4,2,6
6,48,.534,20,2014-15,37,HOU,57,156,134,487,SG,32,playoffs,15,2,17
1,6,.421,3,2015-16,38,HOU,13,35,38,124,SG,10,playoffs,2,1,5
2,5,.389,2,2016-17,39,MIL,6,15,18,68,SG,6,playoffs,3,1,6
