off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
101,119,.441,158,2007-08,21,SEA,320,838,749,2253,SF,278,regular,46,49,80
120,155,.491,173,2008-09,22,OKC,476,1290,1068,2873,PF,399,regular,81,33,78
112,134,.502,135,2009-10,23,OKC,485,1239,1070,3043,PF,378,regular,104,72,82
73,108,.488,99,2010-11,24,TOT,368,998,820,2427,PF-SF,287,regular,53,37,75
57,89,.482,76,2010-11,24,OKC,270,744,618,1815,PF,217,regular,40,21,49
16,19,.505,23,2010-11,24,BOS,98,254,202,612,SF,70,regular,13,16,26
55,128,.510,132,2012-13,26,BOS,376,1036,806,2252,PF,263,regular,56,68,81
54,138,.469,165,2013-14,27,BOS,482,1382,1171,2805,SF,326,regular,57,47,82
64,134,.480,108,2014-15,28,TOT,416,1168,967,2454,SF,264,regular,53,34,78
21,53,.483,56,2014-15,28,BOS,206,580,475,1093,SF,120,regular,27,13,33
43,81,.478,52,2014-15,28,MEM,210,588,492,1361,SF,144,regular,26,21,45
74,138,.470,93,2015-16,29,TOT,354,939,824,2253,SF,258,regular,58,40,80
55,98,.469,69,2015-16,29,MEM,240,646,557,1544,SF,186,regular,40,19,53
19,40,.474,24,2015-16,29,LAC,114,293,267,709,SF,72,regular,18,21,27
39,81,.442,75,2016-17,30,ORL,220,638,558,1534,PF,175,regular,37,13,69
6,10,.386,6,2009-10,23,OKC,23,71,70,224,PF,22,playoffs,4,3,6
6,2,.500,12,2010-11,24,BOS,23,66,53,173,SF,18,playoffs,5,4,9
6,14,.494,19,2012-13,26,BOS,37,122,85,258,PF,26,playoffs,2,4,6
9,19,.352,16,2014-15,28,MEM,36,98,108,298,SF,43,playoffs,5,5,11
3,4,.500,3,2015-16,29,LAC,21,61,46,159,SF,16,playoffs,6,2,6
