off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
174,84,.482,89,2007-08,22,CHI,177,488,367,1534,C,242,regular,68,64,74
244,106,.556,82,2008-09,23,CHI,207,537,372,1938,C,362,regular,49,110,80
220,132,.504,117,2009-10,24,CHI,262,687,520,1925,C,484,regular,32,100,64
182,107,.525,90,2010-11,25,CHI,211,561,402,1576,C,316,regular,48,72,48
242,160,.508,92,2011-12,26,CHI,249,652,490,1945,C,387,regular,41,92,64
260,262,.481,176,2012-13,27,CHI,303,784,630,2426,C,473,regular,78,141,66
282,431,.475,194,2013-14,28,CHI,380,1007,800,2820,C,618,regular,99,121,80
219,312,.445,123,2014-15,29,CHI,190,485,427,2049,C,427,regular,48,74,67
87,110,.383,52,2015-16,30,CHI,51,124,133,635,C,168,regular,18,29,29
162,103,.490,58,2016-17,31,NYK,99,232,202,1015,C,241,regular,30,37,46
28,16,.510,8,2008-09,23,CHI,26,71,51,271,C,64,playoffs,6,15,7
20,13,.528,15,2009-10,24,CHI,28,74,53,188,C,45,playoffs,9,7,5
68,40,.411,19,2010-11,25,CHI,51,139,124,529,C,95,playoffs,16,33,16
9,9,.731,1,2011-12,26,CHI,19,45,26,99,C,19,playoffs,2,4,3
52,28,.437,24,2012-13,27,CHI,52,129,119,409,C,63,playoffs,10,26,12
15,23,.512,19,2013-14,28,CHI,21,52,41,210,C,49,playoffs,5,7,5
45,38,.408,20,2014-15,29,CHI,31,69,76,395,C,87,playoffs,10,14,12
