off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
9,39,.466,25,2009-10,22,TOT,104,281,268,719,SG,90,regular,18,5,60
5,22,.427,20,2009-10,22,MIL,64,169,177,486,SG,67,regular,13,4,41
4,17,.544,5,2009-10,22,PHI,40,112,91,233,SG,23,regular,5,1,19
21,78,.546,60,2010-11,23,PHI,242,774,570,2062,SG,150,regular,63,4,74
17,54,.513,29,2011-12,24,PHI,191,556,467,1644,SG,144,regular,40,3,66
37,69,.502,52,2012-13,25,LAL,205,618,530,1663,SG,134,regular,58,5,78
30,138,.554,111,2013-14,26,LAL,413,1209,892,2556,SG,164,regular,111,4,77
12,79,.485,57,2014-15,27,DET,222,663,534,1462,SG,92,regular,59,6,60
1,3,.450,1,2015-16,28,DET,7,22,20,43,SG,4,regular,0,0,3
5,45,.512,36,2016-17,29,ORL,103,327,256,738,SG,72,regular,34,4,36
2,4,.548,2,2010-11,23,PHI,13,39,31,125,SG,8,playoffs,3,0,5
2,4,.404,4,2011-12,24,PHI,9,35,26,102,SG,2,playoffs,3,1,13
1,0,.250,2,2012-13,25,LAL,1,4,4,20,SG,1,playoffs,1,0,1
0,0,1.000,0,2015-16,28,DET,1,2,1,2,SG,0,playoffs,0,0,1
