off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
163,66,.478,71,2007-08,32,TOT,312,778,653,1726,PF,238,regular,34,47,77
108,47,.466,49,2007-08,32,CHI,225,559,483,1146,PF,157,regular,25,31,50
55,19,.512,22,2007-08,32,CLE,87,219,170,580,PF,81,regular,9,16,27
89,41,.473,25,2008-09,33,TOT,156,374,333,1102,C,174,regular,17,40,57
53,25,.459,15,2008-09,33,OKC,99,238,218,691,C,110,regular,10,26,36
36,16,.500,10,2008-09,33,CLE,57,136,115,411,C,64,regular,7,14,21
66,21,.402,22,2009-10,34,ATL,77,194,193,592,PF,91,regular,6,19,64
3,4,.188,5,2010-11,35,TOT,3,8,16,69,PF,18,regular,0,4,16
1,1,.250,2,2010-11,35,NJN,1,2,4,25,PF,2,regular,0,0,4
2,3,.167,3,2010-11,35,LAL,2,6,12,44,PF,16,regular,0,4,12
20,6,.486,6,2007-08,32,CLE,36,86,74,263,PF,40,playoffs,5,7,13
10,3,.490,7,2008-09,33,CLE,23,72,50,218,C,38,playoffs,6,7,13
1,0,.000,1,2009-10,34,ATL,0,0,3,24,PF,1,playoffs,0,1,5
1,0,.000,0,2010-11,35,LAL,0,0,2,11,PF,0,playoffs,0,0,5
