off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
76,208,.501,170,2007-08,28,SAC,381,1015,799,2517,SG,273,regular,93,31,81
59,249,.530,165,2008-09,29,TOT,516,1446,1093,2959,SF,274,regular,83,24,79
43,196,.524,122,2008-09,29,SAC,351,970,744,1980,SF,178,regular,58,9,53
16,53,.543,43,2008-09,29,CHI,165,476,349,979,SF,96,regular,25,15,26
35,223,.501,123,2009-10,30,TOT,437,1245,991,2824,SG,235,regular,99,26,81
18,125,.486,70,2009-10,30,CHI,230,649,548,1695,SG,156,regular,65,22,51
17,98,.518,53,2009-10,30,MIL,207,596,443,1129,SG,79,regular,34,4,30
27,252,.462,137,2010-11,31,MIL,373,1024,898,2554,SG,239,regular,72,28,73
20,93,.457,45,2011-12,32,SAC,141,344,345,1250,SF,114,regular,37,7,46
33,226,.480,85,2012-13,33,SAC,244,672,612,2278,SF,174,regular,51,25,76
20,147,.439,54,2013-14,34,TOT,150,403,413,1726,SG-SF,143,regular,47,19,78
8,44,.419,14,2013-14,34,SAC,41,105,117,445,SF,38,regular,12,8,18
12,103,.448,40,2013-14,34,TOR,109,298,296,1281,SG,105,regular,35,11,60
4,13,.417,5,2014-15,35,NOP,16,42,48,270,SF,17,regular,9,4,21
6,16,.458,12,2008-09,29,CHI,43,127,107,313,SF,25,playoffs,9,7,7
7,28,.422,12,2009-10,30,MIL,44,119,109,285,SG,19,playoffs,10,4,7
0,5,.353,1,2013-14,34,TOR,5,13,17,77,SG,6,playoffs,2,0,6
