off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
76,20,.493,30,2009-10,22,TOT,99,244,201,624,PF,99,regular,14,21,47
32,7,.446,12,2009-10,22,NYK,41,97,92,252,PF,29,regular,10,9,24
44,13,.532,18,2009-10,22,HOU,58,147,109,372,PF,70,regular,4,12,23
128,29,.491,62,2010-11,23,HOU,173,406,352,1125,C,178,regular,14,52,72
61,16,.497,31,2011-12,24,TOT,82,194,165,551,C,125,regular,14,27,39
47,14,.504,24,2011-12,24,HOU,68,161,135,469,C,108,regular,9,21,32
14,2,.467,7,2011-12,24,LAL,14,33,30,82,C,17,regular,5,6,7
82,13,.497,26,2012-13,25,LAL,77,194,155,458,PF,84,regular,8,19,29
194,54,.549,75,2013-14,26,LAL,286,696,521,1500,PF,341,regular,29,64,72
174,103,.461,106,2014-15,27,LAL,357,841,777,1874,C,382,regular,34,52,70
156,87,.506,92,2015-16,28,IND,278,645,549,1513,C,295,regular,36,37,73
8,0,.385,4,2016-17,29,MIN,5,12,13,47,C,6,regular,1,0,7
39,1,.434,7,2011-12,24,LAL,23,57,53,217,C,37,playoffs,3,8,12
2,1,.500,0,2012-13,25,LAL,5,10,10,31,PF,9,playoffs,0,2,3
2,2,.000,0,2015-16,28,IND,0,0,3,15,C,4,playoffs,0,0,5
