off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
120,164,.482,114,2007-08,27,DAL,567,1513,1247,2757,SF,412,regular,59,32,76
59,83,.488,89,2008-09,28,DAL,353,936,783,1663,SF,204,regular,55,30,52
30,48,.434,46,2009-10,29,TOT,157,446,388,918,SF,95,regular,26,11,35
26,44,.430,43,2009-10,29,DAL,137,388,342,827,SF,86,regular,23,9,31
4,4,.467,3,2009-10,29,WAS,20,58,46,91,SF,9,regular,3,2,4
18,24,.380,20,2010-11,30,WAS,58,152,162,409,SF,56,regular,13,5,18
39,50,.411,53,2011-12,31,UTA,144,372,361,991,SF,119,regular,32,10,43
9,4,.435,10,2012-13,32,MIN,31,74,77,207,SF,27,regular,10,3,11
12,7,.299,9,2007-08,27,DAL,21,63,72,171,SF,23,playoffs,2,2,5
10,13,.469,21,2008-09,28,DAL,56,158,128,295,SF,41,playoffs,9,4,10
4,4,.324,2,2011-12,31,UTA,5,15,17,63,SF,10,playoffs,2,1,4
