off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
161,272,.468,245,2007-08,22,ATL,518,1394,1133,2873,PF,506,regular,123,227,81
134,169,.508,161,2008-09,23,ATL,418,1073,849,2421,PF,364,regular,94,111,69
223,342,.505,198,2009-10,24,ATL,504,1269,999,2871,PF,482,regular,130,172,81
134,255,.502,197,2010-11,25,ATL,497,1274,1041,2645,PF,523,regular,99,120,77
136,257,.470,164,2011-12,26,ATL,504,1239,1101,2329,PF,496,regular,93,115,66
133,321,.491,226,2012-13,27,ATL,550,1327,1182,2683,PF,506,regular,94,136,76
102,252,.448,199,2013-14,28,DET,517,1264,1233,2730,SF,418,regular,105,110,77
152,277,.456,206,2014-15,29,TOT,414,1027,987,2300,PF,378,regular,87,116,83
52,132,.403,72,2014-15,29,DET,153,367,391,896,PF,150,regular,37,48,28
100,145,.491,134,2014-15,29,HOU,261,660,596,1404,PF,228,regular,50,68,55
51,90,.423,77,2015-16,30,TOT,127,332,349,880,PF,141,regular,34,47,55
33,42,.433,41,2015-16,30,LAC,69,181,180,459,PF,92,regular,18,34,32
18,48,.411,36,2015-16,30,HOU,58,151,169,421,PF,49,regular,16,13,23
7,20,.415,26,2007-08,22,ATL,35,110,88,237,PF,38,playoffs,12,20,7
24,24,.428,21,2008-09,23,ATL,67,188,159,410,PF,58,playoffs,12,17,11
37,29,.488,17,2009-10,24,ATL,62,155,129,392,PF,62,playoffs,13,19,11
18,35,.412,26,2010-11,25,ATL,69,181,171,438,PF,84,playoffs,13,25,12
10,24,.386,15,2011-12,26,ATL,34,84,88,196,PF,58,playoffs,3,5,5
10,21,.461,16,2012-13,27,ATL,39,102,90,199,PF,35,playoffs,11,3,6
26,46,.508,38,2014-15,29,HOU,85,229,194,396,PF,70,playoffs,9,17,17
1,4,.615,5,2015-16,30,HOU,6,16,13,38,PF,1,playoffs,1,1,4
